"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,16-00-10,1869.945,-2.0,-90.94,8.20
2026-04-15,16-00-10,1869.955,-2.0,-91.00,8.20
2026-04-15,16-00-10,1869.965,-2.0,-91.00,8.20
2026-04-15,16-00-10,1869.975,-2.0,-91.00,8.20
2026-04-15,16-00-10,1869.985,-2.0,-91.00,8.20
2026-04-15,16-00-10,1869.995,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.005,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.015,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.025,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.035,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.045,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.055,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.065,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.075,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.085,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.095,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.105,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.115,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.125,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.135,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.145,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.155,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.165,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.175,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.185,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.195,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.205,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.215,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.225,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.235,-2.0,-91.00,8.20
2026-04-15,16-00-10,1870.245,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.255,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.265,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.275,-2.0,-91.00,8.20
2026-04-15,16-00-10,1870.285,-2.0,-91.00,8.20
2026-04-15,16-00-10,1870.295,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.305,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.315,-2.0,-90.94,8.20
2026-04-15,16-00-10,1870.326,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.336,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.346,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.356,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.366,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.376,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.386,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.396,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.406,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.416,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.426,-2.0,-90.94,8.19
2026-04-15,16-00-10,1870.436,-2.0,-91.00,8.19
2026-04-15,16-00-10,1870.446,-2.0,-91.00,8.19
2026-04-15,16-00-10,1870.456,-2.0,-90.94,8.19
2026-04-15,16-00-10,1870.466,-2.0,-91.06,8.19
2026-04-15,16-00-10,1870.476,-2.0,-91.06,8.19
2026-04-15,16-00-10,1870.486,-2.0,-90.94,8.19
2026-04-15,16-00-10,1870.496,-2.0,-90.94,8.19
2026-04-15,16-00-10,1870.506,-2.0,-91.00,8.19
2026-04-15,16-00-10,1870.516,-2.0,-91.00,8.19
2026-04-15,16-00-10,1870.526,-2.0,-90.94,8.16
2026-04-15,16-00-10,1870.536,-2.0,-91.00,8.16
2026-04-15,16-00-10,1870.546,-2.0,-91.00,8.16
2026-04-15,16-00-10,1870.556,-2.0,-90.94,8.16
2026-04-15,16-00-10,1870.566,-2.0,-90.94,8.16
2026-04-15,16-00-10,1870.576,-2.0,-91.00,8.16
2026-04-15,16-00-10,1870.586,-2.0,-91.00,8.16
2026-04-15,16-00-10,1870.596,-2.0,-91.00,8.16
2026-04-15,16-00-10,1870.606,-2.0,-91.00,8.16
2026-04-15,16-00-10,1870.616,-2.0,-91.00,8.16
2026-04-15,16-00-10,1870.626,-2.0,-90.94,8.17
2026-04-15,16-00-10,1870.636,-2.0,-91.00,8.17
2026-04-15,16-00-10,1870.646,-2.0,-91.00,8.17
2026-04-15,16-00-11,1870.656,-2.0,-90.94,8.17
2026-04-15,16-00-11,1870.666,-2.0,-90.94,8.17
2026-04-15,16-00-11,1870.676,-2.0,-91.00,8.17
2026-04-15,16-00-11,1870.686,-2.0,-91.00,8.17
2026-04-15,16-00-11,1870.696,-2.0,-90.94,8.17
2026-04-15,16-00-11,1870.706,-2.0,-91.00,8.17
2026-04-15,16-00-11,1870.716,-2.0,-91.00,8.17
2026-04-15,16-00-11,1870.726,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.736,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.746,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.756,-2.0,-91.06,8.14
2026-04-15,16-00-11,1870.766,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.776,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.786,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.796,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.806,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.816,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.826,-2.0,-91.00,8.12
2026-04-15,16-00-11,1870.836,-2.0,-90.94,8.12
2026-04-15,16-00-11,1870.846,-2.0,-91.00,8.12
2026-04-15,16-00-11,1870.856,-2.0,-90.94,8.12
2026-04-15,16-00-11,1870.866,-2.0,-91.00,8.12
2026-04-15,16-00-11,1870.876,-2.0,-91.00,8.12
2026-04-15,16-00-11,1870.886,-2.0,-91.00,8.12
2026-04-15,16-00-11,1870.896,-2.0,-90.94,8.12
2026-04-15,16-00-11,1870.906,-2.0,-91.00,8.12
2026-04-15,16-00-11,1870.916,-2.0,-91.00,8.12
2026-04-15,16-00-11,1870.926,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.936,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.946,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.956,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.966,-2.0,-91.00,8.14
2026-04-15,16-00-11,1870.976,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.986,-2.0,-90.94,8.14
2026-04-15,16-00-11,1870.996,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.006,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.016,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.026,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.037,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.047,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.057,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.067,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.077,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.087,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.097,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.107,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.117,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.127,-2.0,-91.00,8.12
2026-04-15,16-00-11,1871.137,-2.0,-91.00,8.12
2026-04-15,16-00-11,1871.147,-2.0,-90.94,8.12
2026-04-15,16-00-11,1871.157,-2.0,-90.94,8.12
2026-04-15,16-00-11,1871.167,-2.0,-91.00,8.12
2026-04-15,16-00-11,1871.177,-2.0,-91.00,8.12
2026-04-15,16-00-11,1871.187,-2.0,-90.94,8.12
2026-04-15,16-00-11,1871.197,-2.0,-90.94,8.12
2026-04-15,16-00-11,1871.207,-2.0,-91.00,8.12
2026-04-15,16-00-11,1871.217,-2.0,-91.00,8.12
2026-04-15,16-00-11,1871.227,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.237,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.247,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.257,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.267,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.277,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.287,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.297,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.307,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.317,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.327,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.337,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.347,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.357,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.368,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.378,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.388,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.398,-2.0,-90.94,8.14
2026-04-15,16-00-11,1871.408,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.418,-2.0,-91.00,8.14
2026-04-15,16-00-11,1871.428,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.438,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.448,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.458,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.468,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.478,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.488,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.498,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.508,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.518,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.528,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.538,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.548,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.559,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.569,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.579,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.589,-2.0,-91.00,8.09
2026-04-15,16-00-11,1871.599,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.609,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.619,-2.0,-90.94,8.09
2026-04-15,16-00-11,1871.629,-2.0,-90.94,8.03
2026-04-15,16-00-11,1871.639,-2.0,-91.00,8.03
2026-04-15,16-00-12,1871.649,-2.0,-90.94,8.03
2026-04-15,16-00-12,1871.659,-2.0,-90.94,8.03
2026-04-15,16-00-12,1871.669,-2.0,-90.94,8.03
2026-04-15,16-00-12,1871.679,-2.0,-90.94,8.03
2026-04-15,16-00-12,1871.689,-2.0,-90.94,8.03
2026-04-15,16-00-12,1871.699,-2.0,-91.00,8.03
2026-04-15,16-00-12,1871.709,-2.0,-90.94,8.03
2026-04-15,16-00-12,1871.719,-2.0,-90.94,8.05
2026-04-15,16-00-12,1871.729,-2.0,-91.00,8.05
2026-04-15,16-00-12,1871.739,-2.0,-91.00,8.05
2026-04-15,16-00-12,1871.749,-2.0,-90.94,8.05
2026-04-15,16-00-12,1871.759,-2.0,-91.00,8.05
2026-04-15,16-00-12,1871.769,-2.0,-91.00,8.05
2026-04-15,16-00-12,1871.779,-2.0,-91.00,8.05
2026-04-15,16-00-12,1871.789,-2.0,-91.00,8.05
